genus,num_genomes,reference taxa level,taxon label used,nitrogen cycle metabolic process(GO:0071941),nitrogen fixation(GO:0009399),"anaerobic respiration, using ammonium as electron donor(GO:0019331)",denitrification pathway(GO:0019333),"aerobic respiration, using ammonia as electron donor(GO:0019409)",urea metabolic process(GO:0019627),nitrate assimilation(GO:0042128)
Dyadobacter,5,False,Dyadobacter,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Dysgonomonas,1,False,Dysgonomonas,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Edaphobaculum,32,family,Chitinophagaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Ekhidna,11,family,Cyclobacteriaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Ellin6055,49,family,Sphingomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Ellin6067,7,family,Nitrosomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Elstera,8,manual,Rhodospirillaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Emticicia,1,False,Emticicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Endobacterium,66,family,Rhizobiaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Enhygromyxa,1,family,Nannocystaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ensifer,2,False,Ensifer,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Enterococcus,16,False,Enterococcus,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ephemeroptericola,1,False,Ephemeroptericola,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ercella,28,family,Oscillospiraceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Erwinia,11,False,Erwinia,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Erysipelothrix,6,False,Erysipelothrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erythrobacter,5,False,Erythrobacter,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Exiguobacterium,3,False,Exiguobacterium,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Faecalibacterium,2,False,Faecalibacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferribacterium,1,False,Ferribacterium,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Ferriphaselus,1,False,Ferriphaselus,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Ferritrophicum,4,family,Sulfuricellaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Ferrovibrio,1,False,Ferrovibrio,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ferruginibacter,2,False,Ferruginibacter,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Fibrella,10,family,Spirosomataceae,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Fibrobacter,1,False,Fibrobacter,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Filimonas,1,False,Filimonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fimbriiglobus,7,family,Gemmataceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Flavihumibacter,2,False,Flavihumibacter,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Flavimaricola,69,family,Paracoccaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Flavipsychrobacter,32,family,Chitinophagaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Flavisolibacter,2,False,Flavisolibacter,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Flavitalea,32,family,Chitinophagaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Flavobacterium,70,False,Flavobacterium,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Flectobacillus,10,family,Spirosomataceae,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Fluviicoccus,54,family,Moraxellaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Fluviicola,1,False,Fluviicola,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fluviimonas,10,family,Spirosomataceae,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Formivibrio,12,family,Chitinibacteraceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Fr127,4,family,Leptolyngbyaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Frondihabitans,1,False,Frondihabitans,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FukuN18 freshwater group,33,manual,,0.0,1.0,0.0,1.0,0.0,1.0,1.0
FukuN57,5,family,Beijerinckiaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Fundidesulfovibrio,29,family,Desulfovibrionaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Fuscovulum,1,False,Fuscovulum,0.0,0.0,0.0,0.0,0.0,1.0,0.0
